# h diff_forward error_forward diff_central error_central
1.0 -1.598273480115824 2.47905483907548 0.5306692376333983 0.5089145170491761
0.5 -0.12679557583995038 1.117337622348492 0.9333258242844575 0.1362929473484102
0.25 0.6339784034814095 0.4133114030831738 1.0432310522213988 0.034585785687912395
0.125 0.8985960439501683 0.16843215900556438 1.0712276430163685 0.008677520545506839
0.0625 0.9995840724783669 0.07497704375676459 1.0782582875856388 0.002171306808390108
0.03125 1.0425221314972575 0.035241826497327634 1.0800179008384312 0.0005429468757361991
0.015625 1.0621605698713594 0.017068261290579565 1.0804579258996725 0.00013574422597674392
0.0078125 1.0715306051585003 0.008397156998246958 1.0805679397701908 3.39365256176113e-05
0.00390625 1.0761044475348172 0.0041644873181057975 1.0805954437130652 8.484160732617856e-06
0.001953125 1.0783637186136161 0.0020737401065342564 1.0806023197284844 2.121042026120929e-06
0.0009765625 1.0794864598060485 0.0010347465836134141 1.0806040387342364 5.302605938600068e-07
0.00048828125 1.080046109101204 0.0005168427276820854 1.0806044684859444 1.3256498592888017e-07
0.000244140625 1.0803255037103554 0.00025828876065563203 1.0806045759245535 3.314045270594007e-08
0.0001220703125 1.0804650935415339 0.00012911123386887642 1.080604602781932 8.28642353406653e-09
6.103515625e-05 1.0805348615904222 6.45473331316193e-05 1.0806046095003694 2.0691288001474713e-09
3.0517578125e-05 1.0805697389041597 3.227159290366954e-05 1.0806046111792966 5.15436356826152e-10
1.52587890625e-05 1.0805871758784633 1.6135279848752153e-05 1.0806046115903882 1.3500895466946933e-10
7.62939453125e-06 1.0805958939308766 8.06752563168778e-06 1.0806046116922516 4.074375767489309e-11
3.814697265625e-06 1.0806002528697718 4.033729321895874e-06 1.080604611808667 6.698789603319404e-11
1.9073486328125e-06 1.0806024323683232 2.016804234086493e-06 1.0806046117795631 4.005498260617226e-11
9.5367431640625e-07 1.0806035221321508 1.0083282237250894e-06 1.0806046117795631 4.005498260617226e-11
4.76837158203125e-07 1.0806040670722723 5.040363527175335e-07 1.0806046114303172 2.8313997851808916e-10
2.384185791015625e-07 1.080604339018464 2.5237520965544195e-07 1.0806046118959785 1.477866363142594e-10
1.1920928955078125e-07 1.0806044768542051 1.248209316650668e-07 1.0806046100333333 1.5759198230151346e-09
5.960464477539063e-08 1.0806045420467854 6.449120558853802e-08 1.080604612827301 1.0096398659789564e-09
2.9802322387695312e-08 1.0806045792996883 3.0017076401950136e-08 1.080604612827301 1.0096398659789564e-09
1.4901161193847656e-08 1.0806045979261398 1.2780011808656197e-08 1.080604612827301 1.0096398659789564e-09
7.450580596923828e-09 1.0806045979261398 1.2780011808656197e-08 1.0806045979261398 1.2780011808656197e-08
3.725290298461914e-09 1.0806045830249786 2.6569663483291348e-08 1.0806046724319458 5.616824656451957e-08
1.862645149230957e-09 1.0806046724319458 5.616824656451957e-08 1.0806044936180115 1.0930757353110227e-07
9.313225746154785e-10 1.0806045532226562 5.4148966832561654e-08 1.0806046724319458 5.616824656451957e-08
4.656612873077393e-10 1.0806047916412354 1.664854599616008e-07 1.0806047916412354 1.664854599616008e-07
2.3283064365386963e-10 1.0806050300598145 3.8711988675576324e-07 1.080604076385498 4.954178204208865e-07
1.1641532182693481e-10 1.0806045532226562 5.4148966832561654e-08 1.0806055068969727 8.283887403440881e-07
5.820766091346741e-11 1.080606460571289 1.710926447520738e-06 1.080606460571289 1.710926447520738e-06
2.9103830456733704e-11 1.0806083679199219 3.4760018618740373e-06 1.0806045532226562 5.4148966832561654e-08
1.4551915228366852e-11 1.0806045532226562 5.4148966832561654e-08 1.0806121826171875 7.006152690580637e-06
7.275957614183426e-12 1.0806121826171875 7.006152690580637e-06 1.080596923828125 7.11445062424576e-06
3.637978807091713e-12 1.080596923828125 7.11445062424576e-06 1.080596923828125 7.11445062424576e-06
1.8189894035458565e-12 1.08062744140625 2.1126756005407033e-05 1.08056640625 3.535565725389855e-05
9.094947017729282e-13 1.08056640625 3.535565725389855e-05 1.080810546875 0.00019057399578332378
4.547473508864641e-13 1.080810546875 0.00019057399578332378 1.080322265625 0.0002612853102911209
2.2737367544323206e-13 1.08056640625 3.535565725389855e-05 1.08056640625 3.535565725389855e-05
1.1368683772161603e-13 1.0810546875 0.00041650364882054615 1.0810546875 0.00041650364882054615
5.684341886080802e-14 1.08203125 0.0013202222609694355 1.080078125 0.00048721496332834323
2.842170943040401e-14 1.08203125 0.0013202222609694355 1.08203125 0.0013202222609694355
1.4210854715202004e-14 1.0859375 0.004935096709564993 1.0859375 0.004935096709564993
7.105427357601002e-15 1.09375 0.012164845606756108 1.078125 0.002294652187626122
3.552713678800501e-15 1.09375 0.012164845606756108 1.09375 0.012164845606756108
1.7763568394002505e-15 1.125 0.04108384119552057 1.0625 0.016754149982008353
